序号,省份,博物馆名称,性质,质量等级,是否免费开放,藏品数（件/套）,珍贵文物（件/套）,展览（个）,教育活动（次）,参观人数（万人次）
185,安徽省,舒城新四军皖西革命纪念馆,文化文物系统国有博物馆,未定级,是,68,0,7,42,11.7813
186,安徽省,泗县博物馆,文化文物系统国有博物馆,未定级,是,1023,257,6,0,9.2
187,安徽省,苏家埠战役纪念馆,文化文物系统国有博物馆,未定级,是,77,0,2,401,9.7699
188,安徽省,宿松县博物馆,文化文物系统国有博物馆,未定级,是,686,307,2,5,3.9062
189,安徽省,宿州市博物馆,文化文物系统国有博物馆,一级,是,11144,653,48,63,35.6822
190,安徽省,宿州市彭雪枫纪念馆,其他行业国有博物馆,未定级,是,0,0,13,86,36.4888
191,安徽省,宿州铜文化博物馆,非国有博物馆,未定级,是,182,0,12,26,2.2652
192,安徽省,隋唐大运河遗址博物馆,文化文物系统国有博物馆,未定级,是,1245,165,1,0,0
193,安徽省,孙叔敖纪念馆,文化文物系统国有博物馆,未定级,是,19,0,4,30,12.84
194,安徽省,太和县博物馆,文化文物系统国有博物馆,二级,是,1712,287,9,82,25.6033
195,安徽省,太湖县博物馆,文化文物系统国有博物馆,三级,是,3913,910,5,18,2.5575
196,安徽省,太湖县赵朴初生平事迹陈列馆,其他行业国有博物馆,未定级,是,3566,0,4,32,7.1356
197,安徽省,天长市博物馆,文化文物系统国有博物馆,三级,是,1823,814,11,60,7.6333
198,安徽省,天长市中国人民抗日军政大学第八分校纪念馆,文化文物系统国有博物馆,未定级,是,584,0,5,30,44.63
199,安徽省,桐城玉雕博物馆,非国有博物馆,未定级,是,602,0,1,0,0.191
200,安徽省,铜陵市博物馆,文化文物系统国有博物馆,二级,是,15672,881,11,114,23.0879
201,安徽省,铜陵市国盛民俗博物馆,非国有博物馆,未定级,是,3500,0,1,0,0.1056
202,安徽省,皖北民俗博物馆,文化文物系统国有博物馆,未定级,是,295,0,8,10,4.8128
203,安徽省,皖东革命纪念馆,其他行业国有博物馆,未定级,是,394,0,4,8,21
204,安徽省,皖江文化博物馆,非国有博物馆,未定级,是,1014,0,4,4,1.6486
205,安徽省,皖西博物馆,文化文物系统国有博物馆,二级,是,8829,3123,14,132,24.2206
206,安徽省,万安罗经文化博物馆,非国有博物馆,未定级,是,1030,0,1,1,2.4539
207,安徽省,望江县博物馆,文化文物系统国有博物馆,未定级,是,2170,845,8,32,3.9034
208,安徽省,无为博物馆,文化文物系统国有博物馆,未定级,是,83,0,9,70,16
209,安徽省,无为市米芾纪念馆,文化文物系统国有博物馆,未定级,是,684,248,10,23,4.7092
210,安徽省,芜湖鸠兹文房四宝博物馆,非国有博物馆,未定级,是,636,0,3,1,3.8986
211,安徽省,芜湖市博物馆,文化文物系统国有博物馆,二级,是,1581,615,24,120,58
212,安徽省,芜湖市繁昌区博物馆,文化文物系统国有博物馆,三级,是,10590,670,9,214,14.9882
213,安徽省,芜湖市繁昌区玉华古陶瓷博物馆,非国有博物馆,未定级,是,329,0,8,2,0.7518
214,安徽省,芜湖市耿华东艺术收藏博物馆,非国有博物馆,未定级,是,510,0,1,1,0.13
215,安徽省,芜湖市徽派织绣博物馆,非国有博物馆,未定级,是,674,0,1,0,0.0653
216,安徽省,芜湖市徽商博物馆,非国有博物馆,未定级,是,1912,0,1,0,0.1175
217,安徽省,芜湖市傻子瓜子博物馆,非国有博物馆,未定级,是,648,7,1,12,1.1423
218,安徽省,芜湖市王稼祥纪念园,其他行业国有博物馆,未定级,是,2306,55,3,43,27
219,安徽省,芜湖赭山铁画博物馆,非国有博物馆,未定级,是,1427,0,2,49,0.9795
220,安徽省,五河县博物馆,文化文物系统国有博物馆,三级,是,5400,77,5,14,4
221,安徽省,五河县九和收藏馆,非国有博物馆,未定级,是,2650,0,12,10,1.4
222,安徽省,萧县蔡洼淮海战役总前委会议暨华东野战军指挥部旧址纪念馆,文化文物系统国有博物馆,未定级,是,300,0,1,100,64.7
